run,sigma,learning_rate,bucket_size,n_molecules,n_gold,n_scaffolds,exploration_efficiency,chemical_diversity,scaffold_entropy,gold_rate
run13c,60.0,3e-05,100,306415,316,2980,543.1700393188738,0.7455895861721075,7.231948082409952,0.0010312811056899956
run12_t1200,120.0,0.0001,25,492738,64,4874,856.1967287219804,0.7610016609747924,8.483921745753868,0.0001298864711063486
run13b,120.0,0.0001,25,806382,89,4894,828.5728819661043,0.760036603027348,8.490812661543648,0.00011036952709757906
run3,120.0,0.0001,25,39442,0,2550,554.8339161311789,0.8844002898771934,6.765873789856437,0.0
run16_adaptive,120.0,0.0001,50,0,0,0,0.0,0.0,0.0,0.0
run7_optimized,120.0,0.0001,25,81467,13,4209,857.0578486768682,0.7493112560263384,8.213246999806481,0.0001595738151644224
run5_libinvent,120.0,0.0001,25,92109,6,4647,936.0823582791,0.7847237180836608,8.403664142706363,6.514021431130509e-05
run4,120.0,0.0001,25,79588,0,3860,787.6179844972909,0.9107200178005099,7.9664181872074735,0.0
run9_t1200,120.0,0.0001,8,1096589,96,4948,819.1992922032875,0.7630929598541573,8.505575787331333,8.754419385932195e-05
run8_aggressive,120.0,0.0001,15,26552,10,4400,994.5495080658109,0.7615540901018193,8.286135650538554,0.0003766194636938837
run14a,150.0,8e-05,20,1318183,113,4935,806.3757065459632,0.7598832371318587,8.502297832983347,8.572406107497973e-05
run15b,150.0,8e-05,20,0,0,0,0.0,0.0,0.0,0.0
run15,150.0,8e-05,20,1069649,112,4925,816.8523089185422,0.7601182192240252,8.499861309423375,0.00010470724508693973
