Run,Original_Gold,Strict_Gold,Scaffolds,Toxicity,Avg_pIC50,Avg_QED,Avg_SA,Prior,Agent
run12_t1200,59,59,55,—,8.05,0.75,3.73,libinvent.prior,denv_libinvent_model.model
run13b,89,89,72,—,8.06,0.75,3.71,libinvent.prior,denv_libinvent_model_v2.model
run13c,316,316,146,—,8.08,0.75,3.69,libinvent.prior,denv_libinvent_model_v2.model
run14a,113,113,103,—,8.05,0.75,3.75,libinvent.prior,denv_libinvent_model_v2.model
run15,123,123,99,✓,8.05,0.76,3.73,libinvent.prior,denv_libinvent_model_v2.model
run3,2233,0,0,—,—,—,—,denv_ultra_clean_model.model,denv_ultra_clean_model.model
run4,440,0,0,—,—,—,—,denv_ultra_clean_model.model,denv_ultra_clean_model.model
run5_libinvent,6,0,0,—,—,—,—,libinvent.prior,libinvent.prior
run7_optimized,13,13,12,—,8.09,0.74,3.87,libinvent.prior,libinvent.prior
run8_aggressive,10,10,9,—,8.09,0.74,3.85,libinvent.prior,libinvent.prior
run9_t1200,96,96,84,—,8.05,0.76,3.74,libinvent.prior,libinvent.prior
