Feature,run14a_Mean,run14a_Std,run14a_Min,run14a_Max,run15_Mean,run15_Std,run15_Min,run15_Max,Diff_Mean,Diff_Pct
pIC50,8.050808849557523,0.05077160088770464,8.0,8.1877,8.053708928571428,0.04982122734675645,8.0001,8.1781,0.002900079013905099,0.03602220681297742
QED,0.7481575221238937,0.037332963233653316,0.7001,0.8561,0.7614696428571428,0.04400792074342513,0.7017,0.8577,0.013312120733249055,1.7793205761613113
SA,3.751624778761062,0.1298379728814323,3.4159,3.9862,3.726788392857143,0.133448252781244,3.3171,3.9951,-0.024836385903919123,-0.6620167892195525
MW,423.9501327433631,23.65975923698015,364.493,463.5820000000003,416.45300892857165,26.861358524369134,363.505,466.6510000000003,-7.4971238147914505,-1.7683975627694428
LogP,3.1906656637168154,0.5076689647754807,2.0107000000000004,3.988100000000003,3.1398589285714302,0.5065276217851056,1.6206000000000018,3.9266000000000023,-0.05080673514538514,-1.592355342120059
TPSA,68.8458407079646,14.613046135808121,44.370000000000005,104.29,69.22375000000001,13.366655711505025,44.370000000000005,104.29,0.3779092920354117,0.5489210214433365
HBA,4.601769911504425,0.7853550494709106,3.0,7.0,4.5625,0.7447262027867135,3.0,6.0,-0.039269911504424826,-0.8533653846153856
HBD,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0
RotBonds,5.68141592920354,0.7104511484872497,3.0,8.0,5.642857142857143,0.6692357192174129,4.0,8.0,-0.03855878634639698,-0.6786826880284826
AromaticRings,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0
HeavyAtoms,31.035398230088497,1.7572767260117441,27.0,34.0,30.455357142857142,1.8787018369130828,26.0,34.0,-0.5800410872313542,-1.8689661493339897
FractionCsp3,0.5031598277885311,0.035800165416958234,0.4074074074074074,0.5769230769230769,0.49670287872927626,0.03177258876970616,0.4,0.5769230769230769,-0.006456949059254813,-1.283279924717788
NumRings,4.539823008849558,0.5006317121912875,4.0,5.0,4.330357142857143,0.47245559126153397,4.0,5.0,-0.20946586599241446,-4.6139654692286225
ToxicityRiskScore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
