Run,Total,Gold,High,QSAR_mean±std,QSAR_max,QED_mean±std,MW_mean±std,Components
run12_t1200,511792,59,114803,8.05±0.05,8.19,0.75±0.04,1.0±0.0,14
run13b,835852,89,177539,8.06±0.05,8.19,0.75±0.04,1.0±0.0,14
run13c,1021353,316,93676,8.08±0.06,8.19,0.75±0.04,1.0±0.0,28
run14a,1361715,113,303121,8.05±0.05,8.19,0.75±0.04,1.0±0.0,14
run15,1114239,123,178322,8.05±0.05,8.18,0.76±0.04,1.0±0.0,17
run3,122551,0,0,0.00±0.00,0.00,0.00±0.00,0.0±0.0,10
run4,125965,0,0,0.00±0.00,0.00,0.00±0.00,0.0±0.0,12
run5_libinvent,95998,6,28230,8.07±0.08,8.16,0.73±0.02,1.0±0.0,14
run7_optimized,95997,13,43866,8.09±0.06,8.21,0.74±0.03,1.0±0.0,14
run8_aggressive,27776,10,11831,8.09±0.06,8.16,0.74±0.03,1.0±0.0,14
run9_t1200,1136114,96,289397,8.05±0.05,8.19,0.76±0.04,1.0±0.0,14
